Month,Facturas
2016-01-01,254465.94359999997
2016-02-01,406548.3884
2016-03-01,707378.3903999999
2016-04-01,673755.4735999999
2016-05-01,402648.86639999994
2016-06-01,364384.9792
2016-07-01,358608.97159999993
2016-08-01,358484.15679999994
2016-09-01,669635.7492
2016-10-01,392715.93239999993
2016-11-01,487510.056
2016-12-01,770324.1743999999
2017-01-01,201905.62039999999
2017-02-01,875893.1675999999
2017-03-01,350233.83999999997
2017-04-01,449935.19999999995
2017-05-01,661129.7
2017-06-01,594487.96
2017-07-01,601961.7999999999
2017-08-01,520991.01999999996
2017-09-01,769876.58
2017-10-01,793952.2096
2017-11-01,985261.112
2017-12-01,740090.8195999999
2018-01-01,615752.456
2018-02-01,662319.328
2018-03-01,761886.928
2018-04-01,570894.368
2018-05-01,633685.492
